Pageviews;Clicks;Enrollments;Payments
7723;687;134;70
9102;779;147;70
10511;909;167;95
9871;836;156;105
10014;837;163;64
9670;823;138;82
9008;748;146;76
7434;632;110;70
8459;691;131;60
10667;861;165;97
10660;867;196;105
9947;838;162;92
8324;665;127;56
9434;673;220;122
8687;691;176;128
8896;708;161;104
9535;759;233;124
9363;736;154;91
9327;739;196;86
9345;734;167;75
8890;706;174;101
8460;681;156;93
8836;693;206;67
9437;788;;
9420;781;;
9570;805;;
9921;830;;
9424;781;;
9010;756;;
9656;825;;
10419;874;;
9880;830;;
10134;801;;
9717;814;;
9192;735;;
8630;743;;
8970;722;;
