Pageviews;Clicks;Enrollments;Payments
7716;686;105;34
9288;785;116;91
10480;884;145;79
9867;827;138;92
9793;832;140;94
9500;788;129;61
9088;780;127;44
7664;652;94;62
8434;697;120;77
10496;860;153;98
10551;864;143;71
9737;801;128;70
8176;642;122;68
9402;697;194;94
8669;669;127;81
8881;693;153;101
9655;771;213;119
9396;736;162;120
9262;727;201;96
9308;728;207;67
8715;722;182;123
8448;695;142;100
8836;724;182;103
9359;789;;
9427;743;;
9633;808;;
9842;831;;
9272;767;;
8969;760;;
9697;850;;
10445;851;;
9931;831;;
10042;802;;
9721;829;;
9304;770;;
8668;724;;
8988;710;;
